StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you currently a student, faculty member or staff at a university in Pittsburgh?","If yes, which university are you affiliated with","Are you familiar with shared electric scooters or e-scooters (such as Lime, Bird, or Spin?)",What is your experience with shared electric scooters?,How would you phrase your frequency of usage? I use an e-scooter ______________________,"How many times, on average, would you define your weekly usage?",What do you mainly use e-scooters for? [Check all that apply],"If you have not ridden an e-scooter before, what was your primary reason why? [Check all that apply]",What challenges have you experienced while using e-scooters?,How would you rate the overall safety factor of riding an electric scooter?,Do you think the current price to ride an electric scooter is reasonable?,Have you heard about the partnership between Pittsburgh Port Authority and SPIN?,Your university has now included electric scooters as a means of transportation covered by the transportation fee: would you increase your usage of scooters?,"Given the above scenario, on average, how would you define your weekly usage?",Should scooters be able to go faster within city limits?,Are scooters visible enough for bus drivers and drivers in Pittsburgh?,Gender,Age bracket,Do you have any disability that limits your mobility?,How far do you live from the university campus you are affiliated with?,Zip Code,Which of the following best describes your annual household income in the last year from all sources?,Do you own a smartphone?,What is your main mode of transportation? Check all that apply
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}"
2021-12-05 21:00:53,2021-12-05 21:03:39,IP Address,172.58.185.63,100,165,True,2021-12-05 21:03:39,R_2uIFlGWqgk1DMJE,,,,,40.43389892578125,-79.999603271484375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,3,To travel short distances/convenience,I think scooters are too expensive,"Insufficient battery ",3: Partially safe,3: It’s slightly expensive,No,Yes,5,,,Male,18-25,Yes,1.1 - 2 miles,15232,"$50,000 to 74,999","Yes ",Other: _______________
2021-12-05 21:01:37,2021-12-05 21:05:57,IP Address,24.3.251.42,100,259,True,2021-12-05 21:05:57,R_3O9oYr8RG3kU30s,,,,,40.432403564453125,-79.9246978759765625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,3,To travel short distances/convenience,I prefer taking the bus,"Payment issues,Damaged scooter ,Insufficient battery ,Unavailability",2: Minimally safe,4: It’s expensive,Yes,,,No,Yes,Male,25-30,"No ",1.1 - 2 miles,15232,"$1 to $9,999","Yes ","Walk ,Public transportation"
2021-12-05 21:03:57,2021-12-05 21:06:46,IP Address,73.154.247.125,100,169,True,2021-12-05 21:06:47,R_Rkucot42UEyVjbz,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,I don't use scooters,"I do not think scooters are safe ,I think scooters are too expensive","Payment issues,Insufficient battery ,Couldn't unlock the scooter ",1: Not very safe,5: It’s very expensive,No,,,Yes,No,Female,25-30,"No ",1.1 - 2 miles,15232,"$1 to $9,999","Yes ","Walk "
2021-12-05 21:19:57,2021-12-05 21:39:43,IP Address,24.3.251.42,100,1186,True,2021-12-05 21:39:44,R_33dwYrjozOWme0A,,,,,40.432403564453125,-79.9246978759765625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I just never got the chance to try it out, but I am inclined to soon","Vague instructions ",3: Partially safe,4: It’s expensive,No,Yes,2,,,Female,25-30,"No ",2.1 - 5 miles,15232,"$25,000 to 49,999 ","Yes ","Walk ,Public transportation"
2021-12-05 21:59:40,2021-12-05 22:15:56,IP Address,24.3.251.42,100,976,True,2021-12-05 22:15:57,R_28N8gUeyQgDw40y,,,,,40.432403564453125,-79.9246978759765625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,Other,"Insufficient battery ,Vague instructions ",4: Acceptably safe,3: It’s slightly expensive,No,,,Yes,No,Male,25-30,"No ",1.1 - 2 miles,15232,"$10,000 to $24,999","Yes ","Walk ,Public transportation"
2021-12-07 13:55:02,2021-12-07 13:56:46,IP Address,172.58.185.179,100,104,True,2021-12-07 13:56:47,R_6zGamT5Tt4YuVXP,,,,,40.43389892578125,-79.999603271484375,anonymous,EN,Yes,University of Pittsburgh,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I prefer walking  ,I do not think scooters are safe ","Vague instructions ",1: Not very safe,2: It’s fairly priced,No,,,No,No,Male,18-25,"No ",1.1 - 2 miles,N/A,Prefer not to answer,"Yes ","Walk "
2021-12-07 13:56:00,2021-12-07 14:01:21,IP Address,172.58.204.91,100,321,True,2021-12-07 14:01:22,R_xFyqJ0EuDgomhrj,,,,,40.0359039306640625,-75.14499664306640625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer walking  ",Unavailability,3: Partially safe,2: It’s fairly priced,No,Yes,2,,,Male,18-25,"No ",1.1 - 2 miles,15213,Prefer not to answer,"Yes ","Walk ,Public transportation"
2021-12-07 13:59:51,2021-12-07 14:02:49,IP Address,174.242.34.197,100,177,True,2021-12-07 14:02:49,R_2OT4zq0zzS6r8wl,,,,,40.5457000732421875,-80.0507965087890625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,3,"Commuting to school,To travel short distances/convenience",I prefer taking the bus,"Insufficient battery ,Unavailability",3: Partially safe,3: It’s slightly expensive,No,Yes,6,,,Male,18-25,"No ",1.1 - 2 miles,15232,Prefer not to answer,"Yes ","Walk ,Public transportation"
